round_epochs,val_loss,val_acc,loss,acc,lr,batch_size,num_epochs,keep_prob,num_cells,hidden_layer_size,hidden_activation,optimizer
32,0.1587204430450161,0.93321910272753,0.15750100959976904,0.9342087138652084,1,749,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
18,0.18194748902948912,0.9242007391238762,0.18208169724928103,0.9237630347591097,1,757,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
23,0.17211389887385575,0.9283876467389395,0.1723861595461323,0.9287222245711845,1,768,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
12,0.20621053928675703,0.9128662026118463,0.2058587530382434,0.9126616637438633,1,794,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
24,0.173502758219591,0.927748328227986,0.17385257249850292,0.9278425097194092,1,794,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
16,0.19261542916952887,0.919070600947021,0.19046293532462752,0.9196429339325776,1,798,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
24,0.1629252345750272,0.9326583983993326,0.16313033180314176,0.9323693975188087,1,803,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
20,0.17580331924518752,0.9267946406152959,0.1758399432244266,0.9266032306002384,1,825,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
30,0.1651900178065581,0.930761450621957,0.16495683923293908,0.9314877369939032,1,831,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
15,0.19177609748900315,0.9194007320495331,0.19228302747773549,0.9191221888829707,1,832,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
15,0.19238562889747238,0.919599858858436,0.19127233937381713,0.9198210982070373,1,848,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
14,0.19720184513954633,0.9168016029200201,0.197864709224053,0.9165459790155966,1,881,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
17,0.18711401108513032,0.92168543307954,0.18724096317285618,0.922140520480598,1,889,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
23,0.1840205163089678,0.9227596907550745,0.18210299924385917,0.9238625993278156,1,924,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
14,0.1931129656215356,0.919075839713451,0.19379267363721384,0.9186040635677597,1,925,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
23,0.18419782522054742,0.9228016093596543,0.1854596038896743,0.9224431606181013,1,932,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
24,0.1850586001923884,0.922141351175374,0.18683200730591973,0.9211946847031269,1,953,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
22,0.1851797470803985,0.9217640515716413,0.18426576335145428,0.9222315882353086,1,981,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
34,0.16583662121038922,0.9311701850796712,0.16595995835478933,0.9308477770781507,1,986,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
15,0.19051605709744765,0.921009466828609,0.19078648061092396,0.9209352951694689,1,1008,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
19,0.18958960055291704,0.9195160152681846,0.1911137165681928,0.9190501345843803,1,1010,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
25,0.1748224737816663,0.9269780362990998,0.173173000948389,0.9276728735771114,1,1020,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
18,0.18960638693327034,0.9214758453888973,0.1915922745307695,0.9198964275744033,1,1024,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
